iter	Passed	Remaining
414	3026	4266
415	3031	4255
416	3041	4251
417	3045	4240
418	3052	4232
419	3057	4222
420	3062	4211
421	3068	4203
422	3073	4192
423	3079	4183
424	3086	4175
425	3090	4164
426	3095	4153
427	3102	4145
428	3106	4135
429	3111	4124
430	3118	4116
431	3124	4107
432	3134	4104
433	3139	4093
434	3144	4084
435	3151	4076
436	3156	4066
437	3161	4056
438	3168	4049
439	3173	4039
440	3178	4028
441	3186	4023
442	3191	4012
443	3198	4005
444	3203	3994
445	3207	3984
446	3214	3977
447	3219	3967
448	3226	3959
449	3234	3952
450	3238	3942
451	3243	3932
452	3250	3925
453	3256	3915
454	3263	3909
455	3268	3898
456	3271	3887
457	3278	3879
458	3283	3869
459	3288	3859
460	3295	3852
461	3299	3842
462	3304	3832
463	3311	3825
464	3317	3816
465	3322	3806
466	3329	3799
467	3333	3789
468	3338	3779
469	3344	3771
470	3349	3762
471	3360	3759
472	3365	3749
473	3370	3740
474	3377	3732
475	3380	3721
476	3384	3710
477	3388	3700
478	3396	3694
479	3401	3684
480	3408	3677
481	3413	3668
482	3418	3659
483	3434	3661
484	3442	3655
485	3448	3646
486	3453	3637
487	3461	3631
488	3466	3622
489	3473	3614
490	3477	3605
491	3483	3596
492	3490	3589
493	3497	3582
494	3503	3573
495	3508	3565
496	3513	3555
497	3520	3548
498	3525	3539
499	3532	3532
500	3539	3525
501	3544	3516
502	3549	3507
503	3556	3500
504	3561	3491
505	3571	3486
506	3582	3483
507	3589	3476
508	3594	3467
509	3602	3460
510	3607	3451
511	3612	3442
512	3623	3439
513	3628	3430
514	3635	3424
515	3641	3415
516	3647	3407
517	3654	3400
518	3658	3391
519	3671	3389
520	3676	3380
521	3683	3373
522	3688	3364
523	3693	3355
524	3700	3348
525	3705	3339
526	3710	3330
527	3717	3322
528	3721	3313
529	3726	3305
530	3733	3297
531	3738	3289
532	3744	3280
533	3749	3272
534	3759	3267
535	3764	3259
536	3769	3250
537	3777	3243
538	3783	3235
539	3788	3227
540	3796	3220
541	3802	3213
542	3809	3206
543	3814	3197
544	3820	3189
545	3827	3182
546	3837	3178
547	3844	3171
548	3849	3162
549	3854	3153
550	3860	3145
551	3865	3136
552	3872	3130
553	3878	3122
554	3888	3117
555	3893	3108
556	3898	3100
557	3905	3093
558	3910	3084
559	3914	3076
560	3922	3069
561	3927	3060
562	3932	3052
563	3940	3046
564	3946	3038
565	3954	3032
566	3959	3024
567	3964	3015
568	3977	3012
569	3983	3005
570	3989	2997
571	3994	2988
572	4000	2981
573	4006	2973
574	4011	2964
575	4018	2958
576	4023	2949
577	4028	2941
578	4036	2934
579	4044	2929
580	4053	2923
581	4058	2914
582	4065	2908
583	4071	2899
584	4076	2892
585	4084	2885
586	4091	2879
587	4098	2872
588	4103	2863
589	4108	2855
590	4116	2848
591	4120	2840
592	4125	2831
593	4134	2825
594	4139	2817
595	4146	2810
596	4151	2802
597	4157	2794
598	4165	2788
599	4170	2780
600	4175	2772
601	4183	2765
602	4188	2757
603	4194	2750
604	4199	2741
605	4207	2735
606	4214	2728
607	4219	2720
608	4224	2712
609	4230	2704
610	4240	2699
611	4247	2692
612	4252	2684
613	4257	2676
614	4262	2668
615	4267	2660
616	4274	2653
617	4279	2645
618	4284	2637
619	4294	2632
620	4299	2623
621	4306	2616
622	4310	2608
623	4315	2600
624	4322	2593
625	4327	2585
626	4332	2577
627	4339	2570
628	4344	2562
629	4349	2554
630	4358	2548
631	4363	2540
632	4370	2533
633	4376	2526
634	4380	2518
635	4387	2511
636	4392	2503
637	4397	2495
638	4404	2488
639	4409	2480
640	4414	2472
641	4421	2465
642	4426	2457
643	4431	2449
644	4437	2442
645	4442	2434
646	4447	2426
647	4460	2422
648	4464	2414
649	4470	2407
650	4474	2398
651	4477	2389
652	4480	2380
653	4485	2373
654	4489	2364
655	4494	2356
656	4501	2350
657	4506	2342
658	4511	2334
659	4520	2328
660	4525	2321
661	4532	2314
662	4537	2306
663	4542	2298
664	4550	2292
665	4555	2284
666	4564	2278
667	4569	2271
668	4575	2263
669	4581	2256
670	4585	2248
671	4589	2239
672	4592	2231
673	4599	2224
674	4604	2217
675	4609	2209
676	4616	2202
677	4621	2195
678	4628	2188
679	4636	2181
680	4641	2174
681	4648	2167
682	4653	2160
683	4659	2152
684	4664	2144
685	4669	2137
686	4685	2134
687	4693	2128
688	4697	2120
689	4703	2113
690	4710	2106
691	4713	2098
692	4717	2089
693	4724	2083
694	4729	2075
695	4735	2068
696	4742	2061
697	4747	2054
698	4752	2046
699	4761	2040
700	4766	2033
701	4773	2026
702	4778	2018
703	4783	2011
704	4790	2004
705	4795	1996
706	4807	1992
707	4812	1984
708	4817	1977
709	4823	1970
710	4827	1962
711	4830	1954
712	4834	1946
713	4840	1939
714	4845	1931
715	4850	1924
716	4857	1917
717	4862	1909
718	4867	1902
719	4873	1895
720	4877	1887
721	4885	1881
722	4890	1873
723	4895	1866
724	4902	1859
725	4908	1852
726	4915	1845
727	4921	1838
728	4927	1831
729	4935	1825
730	4940	1818
731	4945	1810
732	4952	1803
733	4957	1796
734	4964	1790
735	4970	1782
736	4975	1775
737	4982	1768
738	4987	1761
739	4992	1754
740	5001	1748
741	5006	1740
742	5013	1734
743	5018	1726
744	5024	1719
745	5031	1713
746	5036	1705
747	5041	1698
748	5048	1691
749	5051	1683
750	5056	1676
751	5062	1669
752	5067	1662
753	5072	1654
754	5079	1648
755	5084	1641
756	5089	1633
757	5097	1627
758	5106	1621
759	5114	1615
760	5119	1607
761	5124	1600
762	5129	1593
763	5135	1586
764	5143	1579
765	5148	1572
766	5152	1565
767	5160	1558
768	5165	1551
769	5169	1544
770	5175	1537
771	5180	1529
772	5185	1522
773	5192	1516
774	5197	1509
775	5202	1501
776	5215	1496
777	5223	1490
778	5228	1483
779	5233	1476
780	5241	1469
781	5246	1462
782	5251	1455
783	5258	1448
784	5261	1441
785	5265	1433
786	5270	1426
787	5274	1419
788	5278	1411
789	5285	1404
790	5290	1397
791	5295	1390
792	5301	1383
